epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2407.22,1.31064,0.74196,1.13024,0.86993,0.79935,0.87512,0.56378,1.30567,0.77811,1.16792,0.00132868,0.00132868,0.00132868
43,2464.48,1.27061,0.74483,1.11121,0.86635,0.82826,0.88163,0.58221,1.29168,0.71421,1.16057,0.00132043,0.00132043,0.00132043
44,2521.72,1.27843,0.75583,1.13629,0.85416,0.839,0.87638,0.57808,1.28339,0.73431,1.15424,0.00131218,0.00131218,0.00131218
45,2578.99,1.29211,0.71672,1.11413,0.88347,0.83409,0.88993,0.58869,1.27009,0.68662,1.15141,0.00130393,0.00130393,0.00130393
46,2636.46,1.28124,0.71594,1.10743,0.84566,0.83451,0.87793,0.58281,1.26823,0.69851,1.15059,0.00129568,0.00129568,0.00129568
47,2693.69,1.29626,0.72648,1.12639,0.87393,0.83174,0.8919,0.5947,1.23815,0.73278,1.15171,0.00128742,0.00128742,0.00128742
48,2751.09,1.25984,0.70083,1.11855,0.89323,0.83075,0.88883,0.59279,1.26202,0.68673,1.16044,0.00127917,0.00127917,0.00127917
49,2808.29,1.23348,0.68615,1.1218,0.86491,0.84259,0.88236,0.58746,1.25383,0.68686,1.15253,0.00127092,0.00127092,0.00127092
50,2865.5,1.24871,0.69492,1.11248,0.88387,0.84878,0.89465,0.58959,1.27617,0.66343,1.15614,0.00126267,0.00126267,0.00126267
51,2922.76,1.24473,0.68859,1.10053,0.87774,0.82443,0.88374,0.58797,1.24814,0.68762,1.15285,0.00125442,0.00125442,0.00125442
52,2979.99,1.21479,0.6872,1.09177,0.87717,0.80923,0.87427,0.5754,1.29762,0.70561,1.15886,0.00124617,0.00124617,0.00124617
53,3037.16,1.1991,0.68476,1.10812,0.88533,0.83244,0.88371,0.58142,1.2852,0.71374,1.15586,0.00123791,0.00123791,0.00123791
54,3094.34,1.22331,0.69283,1.10481,0.8679,0.82651,0.88232,0.58787,1.28262,0.6875,1.15192,0.00122966,0.00122966,0.00122966
55,3151.6,1.22474,0.69344,1.10326,0.86257,0.83775,0.88322,0.58584,1.26205,0.72567,1.14652,0.00122141,0.00122141,0.00122141
56,3208.79,1.22514,0.67796,1.08937,0.8839,0.83678,0.89272,0.60034,1.26091,0.66081,1.14732,0.00121316,0.00121316,0.00121316
57,3266.24,1.22973,0.66223,1.09105,0.90175,0.83116,0.88998,0.58073,1.33611,0.68372,1.17662,0.00120491,0.00120491,0.00120491
58,3323.41,1.25732,0.69591,1.11838,0.85444,0.83238,0.87691,0.58271,1.25825,0.69869,1.14335,0.00119666,0.00119666,0.00119666
59,3380.6,1.21494,0.68352,1.1086,0.87289,0.82185,0.87908,0.58573,1.26619,0.70233,1.16303,0.0011884,0.0011884,0.0011884
60,3437.83,1.18068,0.65878,1.08599,0.86698,0.83171,0.88134,0.5864,1.26624,0.68832,1.1604,0.00118015,0.00118015,0.00118015
61,3495.1,1.19291,0.66415,1.07952,0.87365,0.79701,0.87355,0.5655,1.34672,0.73865,1.18087,0.0011719,0.0011719,0.0011719
62,3552.37,1.18438,0.67707,1.08418,0.88837,0.82943,0.88692,0.58764,1.27064,0.68473,1.14907,0.00116365,0.00116365,0.00116365
63,3609.61,1.1611,0.6533,1.07799,0.85763,0.81889,0.87587,0.57993,1.27224,0.69811,1.15628,0.0011554,0.0011554,0.0011554
64,3666.79,1.17075,0.64643,1.09541,0.87372,0.84901,0.89176,0.5885,1.28682,0.67452,1.15899,0.00114715,0.00114715,0.00114715
65,3723.99,1.17758,0.64933,1.08765,0.87129,0.82622,0.88508,0.59333,1.24702,0.67555,1.14258,0.00113889,0.00113889,0.00113889
66,3781.29,1.23603,0.66924,1.1071,0.86797,0.83117,0.88902,0.58461,1.26494,0.68331,1.15381,0.00113064,0.00113064,0.00113064
67,3838.57,1.20949,0.66909,1.10063,0.86402,0.83274,0.87887,0.5759,1.29474,0.69516,1.16244,0.00112239,0.00112239,0.00112239
68,3895.84,1.16495,0.65553,1.0738,0.8728,0.82256,0.87883,0.58027,1.26658,0.67762,1.15785,0.00111414,0.00111414,0.00111414
69,3953.11,1.16577,0.64624,1.08208,0.86322,0.80361,0.87503,0.55323,1.39205,0.75195,1.19943,0.00110589,0.00110589,0.00110589
70,4010.39,1.16964,0.66258,1.08059,0.84871,0.83726,0.8748,0.57363,1.30659,0.72961,1.16584,0.00109764,0.00109764,0.00109764
71,4067.65,1.16411,0.64261,1.08199,0.8866,0.82128,0.88696,0.59537,1.2576,0.68076,1.15128,0.00108938,0.00108938,0.00108938
72,4124.88,1.13857,0.62625,1.06523,0.87133,0.85151,0.89507,0.60418,1.26186,0.67195,1.15188,0.00108113,0.00108113,0.00108113
73,4182.4,1.15326,0.6364,1.07687,0.87449,0.8064,0.87821,0.56729,1.37687,0.72936,1.20153,0.00107288,0.00107288,0.00107288
74,4239.72,1.12292,0.62935,1.0438,0.88129,0.83073,0.88998,0.59567,1.28882,0.67776,1.16415,0.00106463,0.00106463,0.00106463
75,4296.98,1.13747,0.62774,1.06814,0.88812,0.82139,0.89214,0.59639,1.28645,0.67519,1.16685,0.00105638,0.00105638,0.00105638
76,4354.22,1.16067,0.65081,1.08325,0.88004,0.80813,0.88386,0.60196,1.23449,0.66206,1.14063,0.00104813,0.00104813,0.00104813
77,4411.49,1.14292,0.62588,1.08038,0.86001,0.84353,0.88608,0.59798,1.24744,0.67576,1.14806,0.00103987,0.00103987,0.00103987
78,4468.74,1.13951,0.63682,1.07445,0.87163,0.82342,0.883,0.58423,1.26491,0.70351,1.15406,0.00103162,0.00103162,0.00103162
79,4526.04,1.14983,0.6269,1.06552,0.86977,0.83271,0.88426,0.59056,1.26566,0.67332,1.15958,0.00102337,0.00102337,0.00102337
80,4583.3,1.13468,0.62572,1.06007,0.87277,0.82982,0.88616,0.59675,1.26922,0.66493,1.15368,0.00101512,0.00101512,0.00101512
81,4640.6,1.12239,0.6059,1.04547,0.86711,0.83254,0.89086,0.60248,1.25801,0.64946,1.1517,0.00100687,0.00100687,0.00100687
82,4697.95,1.12465,0.6012,1.05501,0.8905,0.8258,0.89141,0.60246,1.2743,0.64326,1.1613,0.000998616,0.000998616,0.000998616
83,4755.25,1.11414,0.60864,1.04583,0.87195,0.83722,0.89537,0.60778,1.22296,0.63959,1.1355,0.000990365,0.000990365,0.000990365
84,4812.77,1.14583,0.6161,1.06544,0.87387,0.82663,0.88686,0.59472,1.24776,0.65065,1.14963,0.000982113,0.000982113,0.000982113
85,4870.02,1.12781,0.60911,1.07063,0.89385,0.82865,0.8953,0.61093,1.21713,0.64272,1.13368,0.000973861,0.000973861,0.000973861
86,4927.59,1.11507,0.59623,1.04455,0.8712,0.82434,0.89627,0.60486,1.235,0.65499,1.14697,0.00096561,0.00096561,0.00096561
87,4984.84,1.08894,0.58994,1.03783,0.8677,0.84542,0.90041,0.60832,1.26221,0.65616,1.16029,0.000957358,0.000957358,0.000957358
88,5042.06,1.08091,0.59633,1.0594,0.90104,0.81065,0.89286,0.61063,1.23174,0.65313,1.13929,0.000949106,0.000949106,0.000949106
89,5099.35,1.07798,0.59009,1.05187,0.87894,0.83861,0.89744,0.61353,1.22182,0.65288,1.14522,0.000940855,0.000940855,0.000940855
90,5156.79,1.09573,0.59655,1.05317,0.88084,0.85562,0.90783,0.62799,1.20992,0.63788,1.13207,0.000932603,0.000932603,0.000932603
91,5214.26,1.09816,0.59528,1.045,0.87216,0.83717,0.89536,0.59683,1.29376,0.69234,1.16637,0.000924352,0.000924352,0.000924352
92,5271.52,1.08627,0.5972,1.04866,0.86506,0.86153,0.9008,0.60897,1.23434,0.64833,1.14293,0.0009161,0.0009161,0.0009161
93,5328.79,1.10845,0.59343,1.04786,0.87677,0.83747,0.89733,0.60469,1.23966,0.63478,1.14624,0.000907848,0.000907848,0.000907848
94,5386.06,1.08891,0.58797,1.04631,0.88396,0.83801,0.89969,0.61268,1.22637,0.6361,1.14204,0.000899597,0.000899597,0.000899597
95,5443.33,1.10227,0.58492,1.04742,0.88247,0.84401,0.89983,0.61147,1.24973,0.64602,1.14407,0.000891345,0.000891345,0.000891345
96,5500.54,1.06519,0.56854,1.02574,0.89526,0.82205,0.89846,0.61438,1.24635,0.64827,1.14146,0.000883093,0.000883093,0.000883093
97,5557.85,1.08795,0.56924,1.03164,0.87015,0.84968,0.89597,0.60685,1.23923,0.6576,1.15131,0.000874842,0.000874842,0.000874842
98,5615.12,1.07797,0.58104,1.03345,0.85941,0.85746,0.89583,0.60382,1.26662,0.64209,1.16062,0.00086659,0.00086659,0.00086659
99,5672.38,1.07858,0.58927,1.03689,0.87823,0.84784,0.90612,0.61425,1.22965,0.6227,1.14733,0.000858338,0.000858338,0.000858338
100,5729.65,1.04196,0.57281,1.02028,0.8656,0.84725,0.89062,0.60849,1.21167,0.65106,1.13623,0.000850087,0.000850087,0.000850087
101,5786.93,1.031,0.56856,1.01629,0.86839,0.84229,0.9023,0.60778,1.26012,0.64504,1.16256,0.000841835,0.000841835,0.000841835
102,5844.16,1.06949,0.57311,1.03025,0.86926,0.83941,0.89599,0.60909,1.24573,0.65683,1.15229,0.000833583,0.000833583,0.000833583
103,5901.43,1.05601,0.56896,1.03468,0.86631,0.81016,0.8806,0.59098,1.31024,0.6681,1.1695,0.000825332,0.000825332,0.000825332
104,5958.66,1.0514,0.5703,1.0307,0.8589,0.85137,0.89251,0.60581,1.24466,0.64353,1.15427,0.00081708,0.00081708,0.00081708
105,6015.86,1.02442,0.54363,1.02246,0.86035,0.85843,0.89347,0.60616,1.2708,0.63824,1.17028,0.000808828,0.000808828,0.000808828
106,6073.12,1.02659,0.54406,1.02513,0.87381,0.85297,0.89516,0.61318,1.22639,0.62806,1.14689,0.000800577,0.000800577,0.000800577
107,6130.42,1.03749,0.5536,1.01439,0.86505,0.84495,0.90068,0.60975,1.2511,0.62815,1.16159,0.000792325,0.000792325,0.000792325
108,6187.67,1.04917,0.55688,1.02793,0.8587,0.85742,0.89968,0.61898,1.22163,0.63256,1.14512,0.000784073,0.000784073,0.000784073
109,6244.89,1.02955,0.55607,1.02047,0.8572,0.86316,0.90632,0.62013,1.22039,0.62145,1.14932,0.000775822,0.000775822,0.000775822
110,6302.16,1.0421,0.56968,1.03119,0.87847,0.82212,0.90181,0.62034,1.20576,0.61024,1.13867,0.00076757,0.00076757,0.00076757
111,6359.38,1.01179,0.54427,1.01031,0.87492,0.85057,0.89526,0.6053,1.24216,0.63172,1.15671,0.000759318,0.000759318,0.000759318
112,6416.63,1.00068,0.53882,1.00452,0.86028,0.85475,0.89614,0.60959,1.23584,0.63631,1.16089,0.000751067,0.000751067,0.000751067
