epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2982.43,1.32627,0.74034,1.18237,0.86705,0.81763,0.87256,0.56807,1.33607,0.76745,1.21919,0.00132868,0.00132868,0.00132868
43,3053.4,1.30707,0.74003,1.16077,0.88194,0.80688,0.87524,0.58149,1.28119,0.69631,1.20688,0.00132043,0.00132043,0.00132043
44,3124.33,1.28828,0.74027,1.156,0.86661,0.81545,0.86217,0.57004,1.28906,0.71826,1.20241,0.00131218,0.00131218,0.00131218
45,3195.31,1.28101,0.7386,1.14283,0.84337,0.82301,0.86808,0.57417,1.29615,0.71598,1.20973,0.00130393,0.00130393,0.00130393
46,3266.28,1.31329,0.72607,1.16906,0.86037,0.8204,0.86389,0.57515,1.30161,0.71912,1.21487,0.00129568,0.00129568,0.00129568
47,3337.26,1.36063,0.76634,1.18036,0.8627,0.82664,0.86905,0.5663,1.35579,0.72723,1.24793,0.00128742,0.00128742,0.00128742
48,3408.18,1.33936,0.74035,1.1772,0.86666,0.82809,0.87678,0.57014,1.31148,0.79232,1.21647,0.00127917,0.00127917,0.00127917
49,3479.13,1.30965,0.7447,1.17807,0.88571,0.82125,0.87994,0.5917,1.25919,0.69008,1.19968,0.00127092,0.00127092,0.00127092
50,3550.38,1.29689,0.72328,1.16603,0.86235,0.81989,0.87462,0.57119,1.34501,0.71527,1.23046,0.00126267,0.00126267,0.00126267
51,3621.33,1.25499,0.69872,1.12588,0.87458,0.82218,0.87598,0.58304,1.29864,0.67318,1.20796,0.00125442,0.00125442,0.00125442
52,3692.31,1.25791,0.70915,1.15178,0.88308,0.82393,0.88943,0.58747,1.31801,0.71713,1.22083,0.00124617,0.00124617,0.00124617
53,3763.26,1.2477,0.72005,1.15318,0.88062,0.81838,0.88232,0.58176,1.30211,0.73135,1.21305,0.00123791,0.00123791,0.00123791
54,3834.16,1.25996,0.69339,1.15592,0.89032,0.8273,0.88535,0.59967,1.26707,0.68089,1.19837,0.00122966,0.00122966,0.00122966
55,3905.43,1.25871,0.69072,1.14115,0.86194,0.84885,0.89544,0.59579,1.28061,0.68522,1.21577,0.00122141,0.00122141,0.00122141
56,3976.37,1.27698,0.69043,1.1368,0.88347,0.83786,0.89231,0.5941,1.29742,0.70757,1.21306,0.00121316,0.00121316,0.00121316
57,4047.31,1.21309,0.67566,1.11885,0.86104,0.83802,0.88307,0.59322,1.26289,0.6985,1.19505,0.00120491,0.00120491,0.00120491
58,4118.32,1.20994,0.66362,1.11841,0.87611,0.83869,0.89101,0.58294,1.32538,0.69256,1.2204,0.00119666,0.00119666,0.00119666
59,4189.25,1.20394,0.68317,1.11959,0.87555,0.85059,0.89444,0.59581,1.29274,0.65539,1.21756,0.0011884,0.0011884,0.0011884
60,4260.12,1.26817,0.72965,1.15751,0.84372,0.82719,0.87505,0.57599,1.33028,0.73905,1.22691,0.00118015,0.00118015,0.00118015
61,4331.1,1.22698,0.7112,1.12948,0.87481,0.84545,0.89271,0.59403,1.29555,0.6903,1.20401,0.0011719,0.0011719,0.0011719
62,4402.06,1.23794,0.67472,1.12862,0.86838,0.84746,0.89735,0.60259,1.24265,0.6835,1.19155,0.00116365,0.00116365,0.00116365
63,4473.28,1.23793,0.67794,1.1399,0.86485,0.83225,0.87841,0.58185,1.28712,0.69223,1.21464,0.0011554,0.0011554,0.0011554
64,4544.23,1.2573,0.70005,1.15064,0.84086,0.81025,0.86431,0.57824,1.27231,0.70268,1.19994,0.00114715,0.00114715,0.00114715
65,4615.18,1.22694,0.67084,1.13973,0.86326,0.84331,0.88707,0.6041,1.23629,0.66824,1.18315,0.00113889,0.00113889,0.00113889
66,4686.35,1.22119,0.66816,1.12627,0.86912,0.84687,0.88309,0.58966,1.25514,0.69407,1.18537,0.00113064,0.00113064,0.00113064
67,4757.29,1.18911,0.65442,1.12187,0.86721,0.83548,0.88571,0.6007,1.24823,0.66641,1.18302,0.00112239,0.00112239,0.00112239
68,4828.25,1.20183,0.65853,1.11388,0.85687,0.82403,0.88299,0.58807,1.30039,0.69062,1.21663,0.00111414,0.00111414,0.00111414
69,4899.23,1.21262,0.65833,1.13329,0.85915,0.83716,0.87881,0.56908,1.35419,0.70903,1.24073,0.00110589,0.00110589,0.00110589
70,4970.21,1.24149,0.68549,1.12,0.84782,0.84374,0.86926,0.5691,1.31749,0.70658,1.19991,0.00109764,0.00109764,0.00109764
71,5041.11,1.20153,0.64702,1.12972,0.87176,0.85302,0.88411,0.59763,1.2492,0.65475,1.18313,0.00108938,0.00108938,0.00108938
72,5112.05,1.18803,0.63449,1.10957,0.87083,0.84846,0.89772,0.60346,1.25779,0.6344,1.2072,0.00108113,0.00108113,0.00108113
73,5183.02,1.20406,0.66661,1.12762,0.86193,0.8306,0.88265,0.58471,1.30241,0.69391,1.2067,0.00107288,0.00107288,0.00107288
74,5253.95,1.1852,0.64388,1.1,0.86441,0.84675,0.88313,0.58565,1.28081,0.66163,1.20484,0.00106463,0.00106463,0.00106463
75,5324.89,1.20074,0.63834,1.12678,0.87605,0.82661,0.88174,0.57486,1.34046,0.68007,1.2187,0.00105638,0.00105638,0.00105638
76,5395.85,1.23544,0.66357,1.14369,0.8235,0.83837,0.87123,0.58116,1.31363,0.71932,1.21384,0.00104813,0.00104813,0.00104813
77,5466.78,1.1918,0.66584,1.1308,0.86468,0.85079,0.88596,0.6037,1.26914,0.67342,1.19338,0.00103987,0.00103987,0.00103987
78,5537.72,1.1343,0.61084,1.08669,0.88431,0.84337,0.89022,0.60666,1.23694,0.63967,1.18644,0.00103162,0.00103162,0.00103162
79,5608.91,1.16312,0.62966,1.10761,0.86659,0.83077,0.87822,0.582,1.27529,0.63722,1.21394,0.00102337,0.00102337,0.00102337
80,5679.82,1.15985,0.64066,1.10257,0.85086,0.84769,0.88333,0.58341,1.30354,0.67975,1.20358,0.00101512,0.00101512,0.00101512
81,5750.78,1.17483,0.633,1.10547,0.85614,0.85241,0.89218,0.59688,1.28264,0.65637,1.1944,0.00100687,0.00100687,0.00100687
82,5821.8,1.19264,0.64271,1.10467,0.85673,0.82972,0.8789,0.58975,1.30778,0.71058,1.21246,0.000998616,0.000998616,0.000998616
83,5892.71,1.17829,0.6401,1.10845,0.8793,0.83912,0.89279,0.5984,1.28328,0.66851,1.19295,0.000990365,0.000990365,0.000990365
84,5963.67,1.14958,0.61711,1.09594,0.87916,0.85387,0.89858,0.62344,1.22998,0.62498,1.18386,0.000982113,0.000982113,0.000982113
85,6034.91,1.21003,0.65488,1.12495,0.85417,0.84419,0.8877,0.58764,1.32372,0.72364,1.23175,0.000973861,0.000973861,0.000973861
86,6105.81,1.16904,0.61931,1.10607,0.86631,0.84189,0.88832,0.59894,1.2764,0.63909,1.19646,0.00096561,0.00096561,0.00096561
