epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,474.247,1.40605,0.92466,1.10039,0.86269,0.78208,0.85665,0.5406,1.29435,0.84268,1.07913,0.00132868,0.00132868,0.00132868
43,485.311,1.40159,0.93054,1.09749,0.86021,0.79612,0.85789,0.5454,1.26699,0.8454,1.07823,0.00132043,0.00132043,0.00132043
44,496.338,1.43506,0.95387,1.13152,0.85709,0.79462,0.85549,0.53972,1.28192,0.83841,1.08563,0.00131218,0.00131218,0.00131218
45,507.396,1.40289,0.92036,1.09351,0.83909,0.77672,0.84626,0.54595,1.2734,0.83767,1.07921,0.00130393,0.00130393,0.00130393
46,518.435,1.41439,0.93088,1.10475,0.84262,0.78613,0.85323,0.54523,1.27127,0.83447,1.08027,0.00129568,0.00129568,0.00129568
47,529.467,1.41484,0.91892,1.10149,0.80922,0.80782,0.85983,0.55492,1.26244,0.81197,1.08007,0.00128742,0.00128742,0.00128742
48,540.48,1.39775,0.89725,1.10877,0.84676,0.78477,0.86077,0.55741,1.24418,0.81827,1.07136,0.00127917,0.00127917,0.00127917
49,551.508,1.37011,0.88153,1.10411,0.83975,0.80862,0.85842,0.55411,1.25635,0.79568,1.06807,0.00127092,0.00127092,0.00127092
50,562.54,1.4615,0.92915,1.12134,0.80898,0.76782,0.81492,0.48214,1.46486,0.93308,1.15054,0.00126267,0.00126267,0.00126267
51,573.587,1.41303,0.9168,1.10036,0.80585,0.77166,0.83585,0.5112,1.34102,0.87426,1.09213,0.00125442,0.00125442,0.00125442
52,584.628,1.37866,0.90424,1.0869,0.8743,0.7851,0.86708,0.56153,1.25102,0.81458,1.06192,0.00124617,0.00124617,0.00124617
53,595.622,1.3776,0.89112,1.1043,0.86877,0.77742,0.85705,0.53737,1.31235,0.84403,1.0881,0.00123791,0.00123791,0.00123791
54,606.628,1.42217,0.9196,1.11604,0.83435,0.77434,0.84068,0.51792,1.34451,0.87285,1.10024,0.00122966,0.00122966,0.00122966
55,617.681,1.37302,0.90428,1.09857,0.84559,0.77662,0.85293,0.53366,1.30895,0.86374,1.09004,0.00122141,0.00122141,0.00122141
