epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,982.525,1.30442,0.76557,1.08535,0.86452,0.79912,0.87468,0.55183,1.32444,0.78341,1.12089,0.00132868,0.00132868,0.00132868
43,1005.95,1.30764,0.75183,1.09019,0.86933,0.82482,0.87851,0.56286,1.30353,0.73044,1.1181,0.00132043,0.00132043,0.00132043
44,1029.19,1.31557,0.76887,1.11171,0.8346,0.8161,0.85746,0.53144,1.38799,0.76868,1.15065,0.00131218,0.00131218,0.00131218
45,1052.56,1.30566,0.75802,1.08359,0.85442,0.82709,0.87981,0.58058,1.22742,0.72825,1.09178,0.00130393,0.00130393,0.00130393
46,1076.05,1.29976,0.74441,1.08506,0.88321,0.80471,0.88062,0.56936,1.27411,0.72665,1.1094,0.00129568,0.00129568,0.00129568
47,1099.27,1.35962,0.77896,1.10804,0.85625,0.81994,0.87803,0.55869,1.35644,0.73779,1.13953,0.00128742,0.00128742,0.00128742
48,1122.45,1.32225,0.74792,1.10204,0.85002,0.8274,0.87919,0.57026,1.25146,0.711,1.09341,0.00127917,0.00127917,0.00127917
49,1145.65,1.28831,0.73984,1.09434,0.85635,0.81876,0.87489,0.57622,1.22602,0.69787,1.0897,0.00127092,0.00127092,0.00127092
50,1168.86,1.3257,0.75598,1.09983,0.83122,0.80081,0.85353,0.5351,1.3689,0.78093,1.14661,0.00126267,0.00126267,0.00126267
51,1192.16,1.28279,0.73542,1.07698,0.84668,0.83077,0.88032,0.56663,1.30147,0.71404,1.10951,0.00125442,0.00125442,0.00125442
52,1215.39,1.25658,0.71127,1.06866,0.86194,0.82264,0.87739,0.57556,1.28905,0.73032,1.09648,0.00124617,0.00124617,0.00124617
53,1238.55,1.26769,0.72669,1.088,0.86252,0.81332,0.87893,0.57438,1.25422,0.73864,1.08929,0.00123791,0.00123791,0.00123791
54,1261.74,1.28003,0.74206,1.08504,0.84973,0.82748,0.87237,0.57051,1.22775,0.69465,1.08538,0.00122966,0.00122966,0.00122966
55,1284.97,1.28049,0.73653,1.0858,0.85388,0.81508,0.87017,0.5596,1.29572,0.72429,1.11815,0.00122141,0.00122141,0.00122141
56,1308.19,1.27763,0.72933,1.06881,0.86514,0.8357,0.88587,0.58493,1.26752,0.70589,1.09734,0.00121316,0.00121316,0.00121316
57,1331.57,1.25955,0.70582,1.06326,0.86585,0.82476,0.88503,0.57353,1.25679,0.71117,1.10031,0.00120491,0.00120491,0.00120491
58,1354.8,1.25934,0.72546,1.08229,0.85397,0.82751,0.88052,0.58427,1.24455,0.72398,1.09288,0.00119666,0.00119666,0.00119666
59,1378.15,1.2475,0.71907,1.07854,0.87348,0.80856,0.87747,0.57647,1.26801,0.71099,1.10161,0.0011884,0.0011884,0.0011884
60,1401.34,1.23461,0.70875,1.06383,0.87271,0.80317,0.88227,0.57392,1.23695,0.71484,1.08853,0.00118015,0.00118015,0.00118015
61,1424.57,1.25628,0.72426,1.06341,0.84782,0.81509,0.87232,0.55098,1.32508,0.74798,1.12145,0.0011719,0.0011719,0.0011719
62,1447.79,1.23543,0.72168,1.06557,0.86269,0.82769,0.87994,0.55716,1.34149,0.72666,1.13225,0.00116365,0.00116365,0.00116365
63,1471.05,1.2337,0.6974,1.06227,0.84224,0.77283,0.8477,0.53041,1.37085,0.77707,1.13688,0.0011554,0.0011554,0.0011554
64,1494.18,1.25525,0.71993,1.0754,0.84942,0.8055,0.86132,0.56064,1.29856,0.73893,1.09419,0.00114715,0.00114715,0.00114715
65,1517.34,1.23707,0.70474,1.06949,0.8679,0.82018,0.88095,0.58421,1.22809,0.68628,1.08938,0.00113889,0.00113889,0.00113889
66,1540.55,1.23897,0.70112,1.06631,0.86475,0.80711,0.87092,0.56847,1.27646,0.68718,1.1032,0.00113064,0.00113064,0.00113064
67,1563.77,1.23925,0.70839,1.06988,0.87794,0.82711,0.89103,0.5802,1.26729,0.69745,1.10315,0.00112239,0.00112239,0.00112239
68,1586.96,1.23763,0.70578,1.06297,0.859,0.80323,0.87981,0.56668,1.29917,0.73918,1.11189,0.00111414,0.00111414,0.00111414
69,1610.16,1.23627,0.70369,1.0648,0.84462,0.82066,0.87221,0.5696,1.27091,0.73161,1.10465,0.00110589,0.00110589,0.00110589
70,1633.43,1.2104,0.69941,1.05604,0.8721,0.81302,0.88432,0.58033,1.25712,0.72565,1.0952,0.00109764,0.00109764,0.00109764
71,1656.61,1.22196,0.69426,1.06422,0.87613,0.81786,0.87907,0.57475,1.27632,0.70352,1.10284,0.00108938,0.00108938,0.00108938
72,1679.93,1.21295,0.68872,1.05541,0.86651,0.8202,0.88107,0.57414,1.27663,0.68888,1.10911,0.00108113,0.00108113,0.00108113
73,1703.31,1.20636,0.67539,1.05348,0.87963,0.82442,0.88288,0.57689,1.29157,0.68867,1.11133,0.00107288,0.00107288,0.00107288
74,1726.55,1.19567,0.66861,1.03624,0.87939,0.81864,0.88686,0.59361,1.24513,0.67754,1.09424,0.00106463,0.00106463,0.00106463
75,1749.85,1.23089,0.67738,1.06284,0.88273,0.82277,0.89193,0.58633,1.25814,0.67,1.09373,0.00105638,0.00105638,0.00105638
76,1773.29,1.26839,0.71621,1.07777,0.83059,0.82383,0.86627,0.53274,1.45916,0.81126,1.16885,0.00104813,0.00104813,0.00104813
77,1796.57,1.261,0.70326,1.08152,0.89989,0.83205,0.8925,0.58845,1.23618,0.68347,1.08712,0.00103987,0.00103987,0.00103987
78,1819.75,1.22156,0.68295,1.06372,0.90331,0.81889,0.90181,0.59973,1.22701,0.65679,1.0847,0.00103162,0.00103162,0.00103162
79,1843.05,1.19041,0.65631,1.04507,0.8826,0.82824,0.89092,0.59816,1.2424,0.64848,1.09283,0.00102337,0.00102337,0.00102337
80,1866.23,1.18096,0.65456,1.03954,0.8723,0.82223,0.88612,0.57483,1.28923,0.67922,1.10706,0.00101512,0.00101512,0.00101512
81,1889.46,1.1716,0.65295,1.02576,0.88738,0.82459,0.88966,0.58861,1.24297,0.6865,1.08806,0.00100687,0.00100687,0.00100687
82,1912.79,1.2001,0.66676,1.03819,0.86814,0.82287,0.88758,0.58617,1.24563,0.67656,1.08885,0.000998616,0.000998616,0.000998616
83,1936.02,1.1798,0.65566,1.03335,0.85907,0.84414,0.89005,0.57947,1.265,0.69082,1.09795,0.000990365,0.000990365,0.000990365
84,1959.24,1.16663,0.66171,1.03481,0.85819,0.83108,0.89322,0.58737,1.26794,0.66857,1.10011,0.000982113,0.000982113,0.000982113
85,1982.45,1.18258,0.67078,1.05129,0.8657,0.8198,0.8787,0.57378,1.24729,0.70375,1.08788,0.000973861,0.000973861,0.000973861
86,2005.72,1.17785,0.65097,1.03198,0.85109,0.82004,0.87225,0.55385,1.29948,0.72301,1.10944,0.00096561,0.00096561,0.00096561
87,2028.9,1.17239,0.64722,1.02627,0.87615,0.83195,0.88649,0.58444,1.24063,0.66501,1.08474,0.000957358,0.000957358,0.000957358
88,2052.1,1.15797,0.65086,1.04708,0.87256,0.8185,0.89011,0.58544,1.25344,0.66238,1.10599,0.000949106,0.000949106,0.000949106
89,2075.33,1.15373,0.64242,1.0397,0.83014,0.82125,0.86027,0.55434,1.33096,0.75923,1.12914,0.000940855,0.000940855,0.000940855
90,2098.48,1.17879,0.65216,1.04393,0.88074,0.82523,0.89052,0.58761,1.23836,0.67256,1.08894,0.000932603,0.000932603,0.000932603
91,2121.66,1.20857,0.66263,1.04861,0.85273,0.81707,0.87981,0.56694,1.29289,0.70565,1.11707,0.000924352,0.000924352,0.000924352
92,2144.84,1.19603,0.66533,1.04456,0.88318,0.80569,0.88046,0.57445,1.26735,0.68294,1.09181,0.0009161,0.0009161,0.0009161
93,2168.05,1.17406,0.64565,1.03603,0.87752,0.8175,0.88316,0.5794,1.27749,0.67507,1.10028,0.000907848,0.000907848,0.000907848
94,2191.32,1.1587,0.63114,1.03703,0.87437,0.81967,0.8885,0.58005,1.25108,0.66579,1.09673,0.000899597,0.000899597,0.000899597
95,2214.52,1.21419,0.64857,1.04618,0.85096,0.83306,0.87756,0.56165,1.30261,0.70618,1.11163,0.000891345,0.000891345,0.000891345
96,2237.68,1.15916,0.62362,1.02703,0.89298,0.81987,0.89523,0.59061,1.24797,0.64913,1.08855,0.000883093,0.000883093,0.000883093
97,2260.9,1.12122,0.61481,1.01357,0.85231,0.8392,0.88462,0.5901,1.25221,0.6647,1.09554,0.000874842,0.000874842,0.000874842
98,2284.11,1.13672,0.63207,1.01969,0.85915,0.83951,0.89384,0.60247,1.22794,0.66522,1.08334,0.00086659,0.00086659,0.00086659
99,2307.4,1.15891,0.64069,1.02767,0.86539,0.84043,0.89473,0.58242,1.28281,0.6624,1.10629,0.000858338,0.000858338,0.000858338
100,2330.62,1.11521,0.62595,1.01273,0.86283,0.83634,0.88721,0.59347,1.24858,0.64887,1.09789,0.000850087,0.000850087,0.000850087
101,2353.89,1.10192,0.62292,1.00658,0.8738,0.83048,0.89264,0.59499,1.22669,0.66288,1.07848,0.000841835,0.000841835,0.000841835
102,2377.04,1.1564,0.62793,1.02162,0.86798,0.8319,0.88583,0.58695,1.23413,0.65935,1.07854,0.000833583,0.000833583,0.000833583
103,2400.32,1.11454,0.62024,1.01976,0.89206,0.81449,0.88581,0.59061,1.2281,0.65208,1.08549,0.000825332,0.000825332,0.000825332
104,2423.5,1.12527,0.62678,1.02169,0.8808,0.82302,0.88401,0.57993,1.25696,0.67102,1.09459,0.00081708,0.00081708,0.00081708
105,2446.64,1.10292,0.60825,1.01503,0.87403,0.8303,0.89616,0.59361,1.23497,0.65508,1.08362,0.000808828,0.000808828,0.000808828
106,2469.8,1.12774,0.60839,1.02261,0.86876,0.82937,0.8891,0.59326,1.22367,0.64511,1.08789,0.000800577,0.000800577,0.000800577
107,2493.02,1.09685,0.60589,1.00082,0.86237,0.84425,0.89234,0.58657,1.25003,0.6585,1.08924,0.000792325,0.000792325,0.000792325
108,2516.2,1.12574,0.60612,1.01913,0.87708,0.84415,0.89683,0.60107,1.21674,0.64073,1.08257,0.000784073,0.000784073,0.000784073
109,2539.45,1.12612,0.61256,1.01475,0.86551,0.84072,0.89077,0.60015,1.21209,0.62884,1.07565,0.000775822,0.000775822,0.000775822
110,2562.72,1.09819,0.60178,1.0146,0.87402,0.84303,0.89578,0.59355,1.2138,0.63343,1.08078,0.00076757,0.00076757,0.00076757
111,2585.98,1.09136,0.59473,1.00381,0.86438,0.85061,0.8935,0.59154,1.23714,0.64902,1.09301,0.000759318,0.000759318,0.000759318
112,2609.15,1.08959,0.59576,1.00161,0.87036,0.84838,0.89331,0.5886,1.24635,0.64748,1.08934,0.000751067,0.000751067,0.000751067
113,2632.39,1.09523,0.59867,1.021,0.88104,0.82765,0.89172,0.59526,1.22625,0.64957,1.08243,0.000742815,0.000742815,0.000742815
114,2655.56,1.12666,0.60686,1.02069,0.87741,0.82914,0.88732,0.58661,1.24519,0.65889,1.08804,0.000734564,0.000734564,0.000734564
115,2678.84,1.0981,0.61039,1.01272,0.89153,0.82588,0.88958,0.59811,1.20518,0.64828,1.07927,0.000726312,0.000726312,0.000726312
116,2702.13,1.0704,0.59562,0.98764,0.88155,0.84737,0.8943,0.60143,1.19462,0.6335,1.07682,0.00071806,0.00071806,0.00071806
117,2725.36,1.08734,0.5901,1.00201,0.87829,0.83736,0.88564,0.57801,1.24301,0.67359,1.08625,0.000709809,0.000709809,0.000709809
118,2748.67,1.09244,0.58903,0.997,0.87471,0.83197,0.88769,0.5873,1.24972,0.64461,1.09478,0.000701557,0.000701557,0.000701557
119,2771.86,1.09918,0.60495,1.00439,0.85807,0.82294,0.88489,0.58393,1.24079,0.66822,1.09512,0.000693305,0.000693305,0.000693305
120,2795.16,1.08165,0.58587,0.998,0.86971,0.82604,0.88279,0.58272,1.23776,0.64912,1.08388,0.000685054,0.000685054,0.000685054
121,2818.38,1.07539,0.58897,1.00077,0.8606,0.85156,0.89655,0.59366,1.23046,0.64624,1.0901,0.000676802,0.000676802,0.000676802
122,2841.59,1.06377,0.58399,0.98844,0.84773,0.8571,0.88615,0.5937,1.22007,0.6418,1.08648,0.00066855,0.00066855,0.00066855
123,2864.85,1.07799,0.58955,0.99899,0.88029,0.82684,0.89203,0.58924,1.27176,0.63198,1.10537,0.000660299,0.000660299,0.000660299
124,2888.06,1.06807,0.58162,0.99262,0.86629,0.83946,0.89142,0.59291,1.22092,0.64021,1.07838,0.000652047,0.000652047,0.000652047
125,2911.29,1.08131,0.58864,0.99863,0.86607,0.85704,0.88994,0.59522,1.21216,0.63366,1.07556,0.000643795,0.000643795,0.000643795
126,2934.57,1.08477,0.58265,1.00401,0.89075,0.85362,0.90089,0.59928,1.21455,0.61849,1.07386,0.000635544,0.000635544,0.000635544
127,2957.84,1.05702,0.56667,0.98963,0.86331,0.8484,0.89669,0.59119,1.24186,0.62753,1.0889,0.000627292,0.000627292,0.000627292
128,2981.09,1.05607,0.56991,0.97905,0.88286,0.82909,0.88955,0.59078,1.2267,0.64946,1.0827,0.00061904,0.00061904,0.00061904
129,3004.3,1.04658,0.56798,0.9859,0.87685,0.83301,0.88988,0.59583,1.22463,0.64104,1.08368,0.000610789,0.000610789,0.000610789
130,3027.56,1.05641,0.5681,0.9858,0.88035,0.83915,0.89308,0.59265,1.24698,0.66376,1.08957,0.000602537,0.000602537,0.000602537
131,3050.72,1.02815,0.55495,0.98555,0.89322,0.82704,0.89922,0.60605,1.18829,0.61916,1.07733,0.000594286,0.000594286,0.000594286
132,3074.04,1.00613,0.54877,0.97079,0.88697,0.84945,0.89693,0.58951,1.2329,0.63692,1.08923,0.000586034,0.000586034,0.000586034
133,3097.33,1.06828,0.57388,0.99091,0.87721,0.8362,0.89638,0.59188,1.22758,0.63194,1.09329,0.000577782,0.000577782,0.000577782
134,3120.58,1.04873,0.57177,0.98604,0.89269,0.84449,0.89936,0.60182,1.21723,0.61949,1.0872,0.000569531,0.000569531,0.000569531
135,3143.86,1.03118,0.55569,0.98556,0.87967,0.85206,0.90176,0.60814,1.20611,0.61914,1.08406,0.000561279,0.000561279,0.000561279
136,3167.24,1.06225,0.55732,0.98845,0.86481,0.85778,0.8988,0.59847,1.22344,0.6253,1.09261,0.000553027,0.000553027,0.000553027
137,3190.53,1.03408,0.55744,0.98491,0.87869,0.85227,0.90223,0.60924,1.20878,0.62608,1.07589,0.000544776,0.000544776,0.000544776
138,3213.91,1.02477,0.54605,0.98539,0.8801,0.85003,0.89923,0.61016,1.22221,0.61937,1.08648,0.000536524,0.000536524,0.000536524
139,3237.19,1.02321,0.55012,0.97931,0.87535,0.83972,0.89629,0.59781,1.20389,0.61828,1.07522,0.000528272,0.000528272,0.000528272
140,3260.49,1.03389,0.54733,0.98087,0.88582,0.84925,0.89444,0.59568,1.21497,0.61822,1.07143,0.000520021,0.000520021,0.000520021
141,3283.74,1.03633,0.55057,0.98676,0.89443,0.83508,0.89416,0.60638,1.19822,0.61573,1.07363,0.000511769,0.000511769,0.000511769
142,3306.97,1.04185,0.5631,0.99221,0.85978,0.84972,0.89137,0.58645,1.24797,0.6509,1.0973,0.000503517,0.000503517,0.000503517
143,3330.25,1.06138,0.57143,0.989,0.87513,0.84463,0.89559,0.6033,1.20759,0.61464,1.08202,0.000495266,0.000495266,0.000495266
144,3353.58,1.00815,0.54107,0.96979,0.90664,0.82311,0.89746,0.59789,1.21359,0.62113,1.08154,0.000487014,0.000487014,0.000487014
145,3376.94,1.03423,0.55266,0.97641,0.87967,0.84358,0.89873,0.60737,1.20148,0.60476,1.07621,0.000478762,0.000478762,0.000478762
146,3400.15,1.00303,0.53328,0.96522,0.87389,0.84229,0.8971,0.60364,1.21436,0.62238,1.08228,0.000470511,0.000470511,0.000470511
147,3423.36,1.01392,0.53344,0.96772,0.87018,0.83978,0.8971,0.60774,1.20283,0.61291,1.08439,0.000462259,0.000462259,0.000462259
148,3446.57,1.01516,0.54363,0.96708,0.86129,0.84174,0.89453,0.60054,1.22792,0.62645,1.09073,0.000454007,0.000454007,0.000454007
149,3469.72,1.02785,0.55331,0.9906,0.87435,0.83711,0.88982,0.60291,1.20643,0.61299,1.08603,0.000445756,0.000445756,0.000445756
150,3492.94,0.98743,0.53251,0.96288,0.86694,0.85127,0.89454,0.60844,1.19806,0.61358,1.08171,0.000437504,0.000437504,0.000437504
151,3516.21,0.99339,0.52342,0.95766,0.88834,0.8418,0.88886,0.58731,1.26253,0.64105,1.10039,0.000429253,0.000429253,0.000429253
152,3539.4,1.00687,0.53745,0.97288,0.87846,0.85259,0.89163,0.60259,1.20841,0.61649,1.08843,0.000421001,0.000421001,0.000421001
153,3562.55,1.01146,0.53898,0.97175,0.86621,0.85569,0.89088,0.6,1.20037,0.61902,1.07876,0.000412749,0.000412749,0.000412749
154,3585.8,1.00337,0.53768,0.96143,0.87158,0.84327,0.89012,0.60449,1.19252,0.61198,1.07961,0.000404498,0.000404498,0.000404498
155,3608.98,0.99101,0.53815,0.96432,0.86754,0.84692,0.89269,0.60281,1.20481,0.60511,1.08109,0.000396246,0.000396246,0.000396246
156,3632.21,1.00274,0.53903,0.97293,0.88619,0.84625,0.8989,0.60818,1.19711,0.61206,1.08253,0.000387994,0.000387994,0.000387994
157,3655.45,0.97943,0.51721,0.96655,0.87324,0.84659,0.89526,0.60582,1.19716,0.6079,1.08264,0.000379743,0.000379743,0.000379743
158,3678.74,0.9907,0.52618,0.96659,0.87327,0.85116,0.8903,0.58715,1.22839,0.61917,1.089,0.000371491,0.000371491,0.000371491
159,3701.95,0.99167,0.52335,0.96447,0.87612,0.84449,0.89411,0.60299,1.21711,0.60848,1.0874,0.000363239,0.000363239,0.000363239
160,3725.14,0.98319,0.52278,0.96353,0.88211,0.83582,0.89593,0.6056,1.20156,0.60783,1.079,0.000354988,0.000354988,0.000354988
161,3748.34,0.9695,0.51557,0.95197,0.88475,0.8519,0.89143,0.5979,1.19909,0.60883,1.08356,0.000346736,0.000346736,0.000346736
162,3771.55,0.9811,0.52326,0.95923,0.8902,0.84942,0.89998,0.60182,1.20861,0.61465,1.0864,0.000338484,0.000338484,0.000338484
163,3794.74,0.9737,0.51717,0.96293,0.86945,0.85972,0.90091,0.60633,1.20908,0.60682,1.08188,0.000330233,0.000330233,0.000330233
164,3818,0.96717,0.51115,0.94403,0.86978,0.85391,0.89284,0.60152,1.2032,0.61522,1.07981,0.000321981,0.000321981,0.000321981
165,3841.23,0.95353,0.50839,0.94452,0.86908,0.85562,0.8906,0.59111,1.21308,0.61676,1.08398,0.000313729,0.000313729,0.000313729
166,3864.39,0.95766,0.51243,0.95181,0.88527,0.84756,0.89795,0.60625,1.18726,0.60103,1.07607,0.000305478,0.000305478,0.000305478
167,3887.58,0.96038,0.51845,0.95901,0.87283,0.85668,0.89462,0.60175,1.18398,0.59964,1.07705,0.000297226,0.000297226,0.000297226
168,3910.72,0.96185,0.51348,0.96154,0.87269,0.85378,0.89676,0.59859,1.20452,0.59781,1.08561,0.000288974,0.000288974,0.000288974
169,3933.91,0.95009,0.51112,0.95505,0.88273,0.84765,0.89564,0.58989,1.20077,0.619,1.09042,0.000280723,0.000280723,0.000280723
170,3957.13,0.96856,0.52564,0.95533,0.89072,0.82933,0.89312,0.59405,1.22128,0.60397,1.09001,0.000272471,0.000272471,0.000272471
171,3980.33,0.95698,0.51069,0.94916,0.88803,0.8413,0.89462,0.60156,1.19021,0.61017,1.07921,0.00026422,0.00026422,0.00026422
172,4003.51,0.95298,0.52245,0.9582,0.88018,0.8542,0.89817,0.61049,1.19694,0.59863,1.0851,0.000255968,0.000255968,0.000255968
173,4026.78,0.95116,0.49691,0.94936,0.87294,0.85056,0.89605,0.60487,1.2029,0.6055,1.08458,0.000247716,0.000247716,0.000247716
174,4049.99,0.9512,0.50705,0.95153,0.87439,0.85257,0.89737,0.61126,1.18035,0.5951,1.07504,0.000239465,0.000239465,0.000239465
175,4073.28,0.96167,0.50736,0.95697,0.89116,0.84335,0.89761,0.60414,1.19621,0.599,1.07903,0.000231213,0.000231213,0.000231213
176,4096.55,0.94705,0.51009,0.95119,0.89442,0.83804,0.896,0.60584,1.1884,0.60112,1.08247,0.000222961,0.000222961,0.000222961
177,4119.69,0.93852,0.51264,0.95988,0.86921,0.86492,0.90196,0.60543,1.19892,0.59647,1.08134,0.00021471,0.00021471,0.00021471
178,4142.9,0.91471,0.49786,0.94113,0.87224,0.85245,0.90037,0.60624,1.19366,0.60171,1.08037,0.000206458,0.000206458,0.000206458
179,4166.05,0.93533,0.5028,0.94936,0.8994,0.83967,0.90379,0.61371,1.18204,0.58954,1.07636,0.000198206,0.000198206,0.000198206
180,4189.34,0.92787,0.49674,0.94939,0.87755,0.85211,0.89552,0.60195,1.1901,0.61756,1.07977,0.000189955,0.000189955,0.000189955
181,4212.55,0.91082,0.48676,0.93843,0.87553,0.85372,0.90318,0.61116,1.20403,0.59125,1.08426,0.000181703,0.000181703,0.000181703
182,4235.87,0.94247,0.50475,0.9464,0.88886,0.85261,0.90843,0.60919,1.2008,0.59354,1.08377,0.000173451,0.000173451,0.000173451
183,4259.07,0.92219,0.48523,0.94457,0.89508,0.84783,0.91145,0.62096,1.18209,0.59749,1.07834,0.0001652,0.0001652,0.0001652
184,4282.34,0.92849,0.49425,0.9477,0.91148,0.84682,0.91017,0.61444,1.19409,0.58674,1.07859,0.000156948,0.000156948,0.000156948
